season,team,budget,rank,salary_mass,rank
2019-2020,Boulazac,3794000,17,1509000,14
2019-2020,Bourg-en-Bresse,5354000,10,1702000,10
2019-2020,Châlons-Reims,4253000,15,1406000,15
2019-2020,Chalon/Saône,5452000,9,1736000,9
2019-2020,Cholet,4601000,13,1365000,16
2019-2020,Dijon,4967000,12,1625000,11
2019-2020,Gravelines-Dunkerque,5971000,7,2066500,5
2019-2020,Lyon-Villeurbanne,11436000,1,3508500,2
2019-2020,Le Mans,6011000,6,1852000,7
2019-2020,Le Portel,3948000,16,1250000,18
2019-2020,Limoges,7011000,4,1950000,6
2019-2020,Boulogne-Levallois,6755000,5,2285000,4
2019-2020,Monaco,9056000,2,3595000,1
2019-2020,Nanterre,5065000,11,1758500,8
2019-2020,Orléans,4504000,14,1531500,13
2019-2020,Pau-Lacq-Orthez,5648000,8,1620000,12
2019-2020,Roanne,3752000,18,1339500,17
2019-2020,Strasbourg,7624000,3,2362500,3
2018-2019,Antibes,3410000,17,1017000,18
2018-2019,Boulazac,3483000,16,1267500,14
2018-2019,Bourg-en-Bresse,5123000,10,1547000,9
2018-2019,Chalon/Saône,5163000,7,1538500,10
2018-2019,Châlons-Reims,4129000,13,1395000,11
2018-2019,Cholet,4111000,14,1184500,16
2018-2019,Dijon,4488000,12,1300000,13
2018-2019,Fos-sur-Mer,3179000,18,1105500,17
2018-2019,Gravelines-Dunkerque,5837000,6,1833000,6
2018-2019,Le Mans,6589000,5,2010000,5
2018-2019,Le Portel,3546000,15,1219000,15
2018-2019,Boulogne-Levallois,5125000,9,1641000,7
2018-2019,Limoges,7029000,4,2189500,4
2018-2019,Lyon-Villeurbanne,9158000,1,2966500,2
2018-2019,Monaco,8089000,2,2995000,1
2018-2019,Nanterre,4837000,11,1617000,8
2018-2019,Pau-Lacq-Orthez,5161000,8,1353000,12
2018-2019,Strasbourg,7705000,3,2494000,3
2017-2018,Lyon-Villeurbanne,8272000,1,2684000,1
2017-2018,Strasbourg,7748000,2,2585000,2
2017-2018,Monaco,6326000,3,2263000,3
2017-2018,Limoges,6150000,4,1874000,4
2017-2018,Chalon/Saône,5672000,5,1715000,5
2017-2018,Le Mans,5496000,6,1623000,8
2017-2018,Gravelines-Dunkerque,5475000,7,1676000,7
2017-2018,Pau-Lacq-Orthez,5069000,8,1351000,10
2017-2018,Nanterre,4593000,9,1684000,6
2017-2018,Bourg-en-Bresse,4387000,10,1338000,11
2017-2018,Levallois,4275000,11,1398000,9
2017-2018,Cholet,4160000,12,1267000,14
2017-2018,Dijon,3963000,13,1170000,16
2017-2018,Châlons-Reims,3883000,14,1285000,13
2017-2018,Boulazac,3529000,15,1333000,12
2017-2018,Le Portel,3444000,16,1200000,15
2017-2018,Antibes,3319000,17,924000,17
2017-2018,Hyères-Toulon,2013000,18,653000,18
2016-2017,Lyon-Villeurbanne,7291000,1,2331000,1
2016-2017,Strasbourg,6721000,2,2201500,3
2016-2017,Monaco,6614000,3,2259000,2
2016-2017,Le Mans,6058000,4,1787500,5
2016-2017,Gravelines-Dunkerque,5571000,5,1656000,6
2016-2017,Limoges,5488000,6,1816000,4
2016-2017,Pau-Lacq-Orthez,5193000,7,1546000,7
2016-2017,Chalon/Saône,5156000,8,1485000,9
2016-2017,Cholet,4228000,9,1270000,15
2016-2017,Dijon,4197000,10,1310000,12
2016-2017,Nanterre,4103000,11,1528000,8
2016-2017,Nancy,4094000,12,1279000,14
2016-2017,Orléans,3940000,13,1384000,10
2016-2017,Paris-Levallois,3913000,14,1310000,12
2016-2017,Châlons-Reims,3767000,15,1345000,11
2016-2017,Antibes,3102000,16,815000,17
2016-2017,Le Portel,2947000,17,1050000,16
2016-2017,Hyères-Toulon,2005000,18,700000,18





